SIgn and Symptom,UMLS CUI,Synonym
Dyspnea,C0013404,"DYSPNEA, dyspnea, Dyspneas, DYSPNOEA, Dyspnea, NOS, Dyspnoea, NOS, Dyspnoea, Dyspnea NOS, Dyspnoea NOS, Dyspnoeas, dyspnoea, Breathlessness, BREATHLESSNESS, breathlessness, Breathlessness NOS, Short of breath, Shortness of Breath, Shortness of breath, SHORTNESS OF BREATH, shortness of breath, Shortness (of);breath, BREATH SHORTNESS, breath shortness, Breath shortness, Breath Shortness, SOB - Shortness of breath, shortness of breath (SOB), SOB (SHORTNESS OF BREATH), SOB (shortness of breath), Breathing difficult, difficult breathing, BREATHING DIFFICULT, Difficulty breathing, breathing difficulty, DIFFICULTY BREATHING, Difficulty Breathing, difficulty breathing, breathing difficulties, Breathing difficulties, Difficulty;breathing, Breathing Difficulties, SOB, sob, Respiration difficult, [D]Shortness of breath, Shortness of breath/dyspnoea, Shortness of breath dyspnea, [D]Dyspnoea, [D]Dyspnea, DIB - Difficulty in breathing, Breathless, breathless, [D]Breathlessness, Breathlessnesses, s.o.b., Respiratory difficulties, respiratory difficulty, RESPIRATORY DIFFICULTY, Breath Shortnesses, Trouble breathing, Difficulty breathing [Ambiguous], Dyspnea (finding) [Ambiguous], [D]Shortness of breath (context-dependent category), Short of breath symptom, shortness of breath (symptom), Shortness of breath symptom, Difficulty breathing (finding), (Symptom: [SOB] or [breathlessness] or [dyspnoea]) or (breathlessness), (Symptom: [SOB] or [breathlessness] or [dyspnea]) or (breathlessness), [D]Breathlessness (context-dependent category), Breathlessness NOS (finding), Breathlessness symptom, [D]Dyspnea (context-dependent category), Dyspnea (finding), Dyspnoea (finding), Dyspnoea - symptom, Dyspnea - symptom, shortness of breath; breath, breath; shortness of breath, tightness of breath, [D]Shortness of breath (situation), [D]Breathlessness (situation), [D]Dyspnea (situation), [D]Dyspnoea (situation), difficulty breathing (symptom), (Symptom: [SOB] or [breathlessness] or [dyspnoea]) or (breathlessness) (finding), breathing shortness, Dyspnea, unspecified"
Exanthema,C0015230,"EXANTHEMA, exanthema, Exanthemata, exanthemas, exanthemata, Eruption, ERUPTION, Eruption, NOS, Exanthem, EXANTHEM, exanthem, exanthems, Rash, RASH, rash, Rashes, Rash, NOS, rashes, rash NOS, Rash NOS, Rash and other nonspecific skin eruption, Rash and other nonspecific skin eruption NOS, Spots, spots, Skin eruption, eruption; skin, SKIN ERUPTION, skin eruption, Skin Eruption, skin; eruption, Eruption of skin, Breaking out - eruption, Cutaneous Eruption, Cutaneous eruption, Cutaneous eruption, NOS, cutaneous eruptions, [D]Rash/nonspec.skin erupt.NOS, [D]Rash/nonspec.skin eruption, [D]Rash and other nonspecific skin eruption, [D]Rash and other nonspecific skin eruption NOS, [D]Exanthem, Spots [D], [D]Spots, Rash/nonspec.skin erupt.NOS, Rash/nonspec.skin eruption, Skin Rash, skin rash, Skin rash, Skin rashes, Rash, Skin, Rash (nonspecific), Efflorescence, efflorescence, Cutaneous eruption (morphologic abnormality), [D]Rash and other nonspecific skin eruption NOS (context-dependent category), [D]Rash and other nonspecific skin eruption (context-dependent category), [D]Exanthem (context-dependent category), Eruption (disorder), Eruption of skin (disorder), [D]Rash and other nonspecific skin eruption (situation), [D]Rash and other nonspecific skin eruption NOS (situation), [D]Exanthem (situation), Nonspecif skin erupt NEC, rash (symptom), exanthem (diagnosis), cutaneous eruption on skin"
Fatigue,C0015672,"FATIGUE, fatigue, Fatigued, Fatigue NOS, fatigued, fatigues, fatiguing, Tiredness, TIREDNESS, tiredness, Fatigue extreme, extreme fatigue, FATIGUE EXTREME, fatigue extreme, Tired, Weariness, WEARINESS, weariness, [D]Fatigue, [D]Tiredness, Lack of energy, Lack of Energy, lack of energy, Lacking in energy, lacking energy, Lack (of);energy, Loss of energy, loss of energy, energy loss, tired all the time, Energy decreased, decreased energy, Decreased energy, Decrease in energy, Feeling of total lack of energy, Tired out, tatt, [D]Fatigue (context-dependent category), [D]Tiredness (context-dependent category), Lack of energy (finding), Lacking in energy (finding), Fatigue (finding), [D]Fatigue (situation), [D]Tiredness (situation), fatigue (diagnosis), Tiredness (finding), rndx fatigue (diagnosis), rndx fatigue, time tired, tired time"
Fever,C0015967,"FEVER, fever, Fevers, Fever NOS, fevered, fevers, Increased body temperature, Body temperature, increased, BODY TEMPERATURE INCREASED, Body temperature increased, body temperature; increased, increased body temperature, increased; body temperature, Increase in body temperature, Hyperthermia, HYPERTHERMIA, hyperthermia, Hyperthermias, Pyrexia, PYREXIA, pyrexia, Pyrexias, Pyrexia NOS, Temperature elevation, TEMPERATURE ELEVATION, temperature elevation, Feverish, feverish, hyperthermic, Hyperthermic, increase temperature, TEMPERATURE INCREASE, increases temperature, temperature increase, Febrile, febrile, Has a temperature, Body temperature above normal, [D]Fever NOS, Feels feverish, Fever, unspecified, Temperature raised, raised temperature, Alteration in body temperature: hyperthermia, fever, High body temperature, high body temperature, Pyrexia [D], [D]Pyrexia, Temperature elevated, elevated temperature, High temperature, Temperature;high, temperature; high, high temperature, high; temperature, Pyrexial, pyrexial, febris, hyperthermia (physical finding), Body temperature above normal (finding), Increased body temperature (finding) [Ambiguous], Hyperthermia [Ambiguous], Increased body temperature (finding), [D]Fever NOS (context-dependent category), [D]Pyrexia (context-dependent category), Pyrexia [D] (finding), Hyperthermia - disorder, Fever (finding), Pyrexia (finding), Elevated Core Body Temperature, [D]Fever NOS (situation), [D]Pyrexia (situation), Pyrexia [D] (situation), fever (physical finding), pyrexia (diagnosis), Hyperthermia (finding), Body temperature above reference range, Body temperature above reference range (finding), rndx hyperthermia (diagnosis), rndx hyperthermia"
Fever of Unknown Origin,C0015970,"fever of origin unknown, FEVER OF UNKNOWN ORIGIN, Fever of unknown origin, fever of unknown origin, Unknown Origin Fever, Unknown Origin Fevers, fever origin unknown, fever unknown origin, fevers origin unknown, fevers unknown origin, unknown origin fever, FEVER UNKNOWN ORIGIN, Fever;unknown origin, fever; unknown origin, unknown origin; fever, Pyrexia of unknown origin, pyrexia of unknown origin, Pyrexia of unknown origin NOS, Pyrexia;unknown origin, F.U.O., f u o, f.u.o., [D]Fever of unknown origin, [D]Pyrexia of unknown orig.NOS, [D]Pyrexia of unknown origin, [D]Pyrexia of unknown origin NOS, Pyrexia of unknown orig.NOS, PUO - Pyrexia of unknown origin, PUO Pyrexia of unknown origin, Fever of unknown origin (F.U.O.), [D]Pyrexia of unknown origin NOS (context-dependent category), [D]Pyrexia of unknown origin (context-dependent category), Pyrexia of unknown origin (finding), febris; PUO, PUO; febris, unknown origin; hyperpyrexia, hyperpyrexia; unknown origin, [D]Pyrexia of unknown origin (situation), [D]Pyrexia of unknown origin NOS (situation), Fever of unknown origin [FUO], fever of unknown origin fuo, Fever of unknown origin (FUO), FUO, fuo, fever of unknown origin (diagnosis)"
Headache,C0018681,"HEADACHE, headache, Headaches, Headache, NOS, headaches, Headache NOS, ha, HA, ache head, HEAD ACHE, head ache, Cephalalgia, CEPHALALGIA, cephalalgia, Cephalalgias, Cephalgia, CEPHALGIA, cephalgia, cephalgias, Cephalgias, HEAD PAIN CEPHALGIA, Head Pain, PAIN HEAD, Pain head, Pain;head, pain; head, HEAD PAIN, Head pain, head; pain, head pain, Pain in head, Pain in head NOS, head pained, head pains, Head Pains, Pains, Head, pain in head, Pain, Head, Cephalodynia, cephalodynia, [D]Pain in head NOS, [D]Headache, Headache (excl N02 N89 R09), Headache (excluding N02 N89 R09), HA - Headache, Have headaches, headache, cephalalgia, Cephalodynias, Cranial Pain, cranial pain, Cranial Pains, Pains, Cranial, Pain, Cranial, [D]Pain in head NOS (context-dependent category), [D]Headache (context-dependent category), Headache (finding), [D]Pain in head NOS (situation), [D]Headache (situation), headache (symptom)"
Hemoptysis,C0019079,"HEMOPTYSIS, hemoptysis, Hemoptyses, HAEMOPTYSIS, Haemoptysis, Haemoptysis NOS, Hemoptysis NOS, hemoptyses, haemoptysis, Coughing blood, COUGHING BLOOD, coughing blood, blood coughed, Coughing;blood, Coughing up blood, coughing up blood, Coughing up Blood, cough up blood, Sputum bloody, BLOODY SPUTUM, bloody sputum, SPUTUM BLOODY, Expectoration of blood streaked sputum, Expectoration of bloody sputum, Expectoration of hemorrhagic sputum, Expectoration of haemorrhagic sputum, [D]Haemoptysis, [D]Haemoptysis NOS, [D]Hemoptysis, [D]Hemoptysis NOS, Blood in sputum - haemoptysis, Blood in sputum - hemoptysis, Blood streaked sputum, blood streaked sputum, Coughing and spitting blood, spitting (up) blood, Spitting (up);blood, blood spit up, spit up blood, spitting up blood, blood spitting up, Blood streaked sputum (finding), Blood in sputum - hemoptysis [& symptom], Blood in sputum - haemoptysis [& symptom], Blood in sputum-symptom, Sputum + blood-symptom, Blood in sputum - symptom, [D]Hemoptysis NOS (context-dependent category), [D]Hemoptysis (context-dependent category), Hemoptysis (finding), Hemoptysis - symptom, Haemoptysis - symptom, [D]Hemoptysis (situation), [D]Hemoptysis NOS (situation), [D]Haemoptysis (situation), [D]Haemoptysis NOS (situation), Hemoptysis (disorder), coughing up blood-streaked sputum, coughing up blood-streaked sputum (symptom), coughing up blood (symptom), coughing up blood (hemoptysis), Blood in sputum - haemoptysis (finding), Blood in sputum - hemoptysis (finding), Blood in sputum - haemoptysis [& symptom] (finding), Hemoptysis, unspecified"
Hemorrhage,C0019080,"HEMORRHAGE, hemorrhage, Hemorrhages, HAEMORRHAGE NOS, HEMORRHAGE NOS, HEMORRHAGES, Haemorrhage, Haemorrhage NOS, Haemorrhage, NOS, Hemorrhage NOS, Hemorrhage, NOS, haemorrhages, hemorrhages, HEMORRHAGE (NOS), Hemorrhage (NOS), haemorrhage, Bleeding, BLEEDING, bleeding, Bleeding, NOS, bleeds, bleed, BLEED_NOS, Extravasation of blood, EXTRAVASATION BLOOD, Extravasation blood, blood; extravasation, extravasation; blood, Bleeding (disorder), Blood loss, BLOOD LOSS, blood loss, Blood loss of (NOS), Hem, HEM, Hemorrhage term, 37 HEMORRHAGES, Haemorrhage, unspecified, Hemorrhage, unspecified, bleeding problems, bleeding problem, BLEED_NOS PROBLEM, Hemorrhage (morphologic abnormality), Bleeding (finding), Bleeding -RETIRED-, Hemorrhage NOS (disorder), Haemorrhage NOS (disorder), hemorrhage (diagnosis), bleeding (symptom)"
Hyaline Membrane Disease,C0020192,"HYALINE MEMBRANE DISEASE, Hyaline membrane disease, hyaline membrane disease, Diseases, Hyaline Membrane, Hyaline Membrane Diseases, Disease, Hyaline Membrane, newborn rds, newborns rds, HMD - Hyaline membrane disease, distress newborn respiratory, distress newborns respiratory, respiratory distress of newborn, newborn respiratory distress, respiratory distress newborn, Pulmonary hyaline membrane disease, HYALINE MEMBRANE DIS, Hyaline membrane disease (disorder)"
Influenza,C0021400,"INFLUENZA, influenza, Influenzas, Influenza, NOS, Influenza NOS, influenzas, Influenzae, Flu, FLU, flu, Grippe, grippe, GRIP, Syndrome flu, FLU SYNDROME, flu syndrome, Flu syndrome, SYNDROME FLU, Influenza (disorder), Influenza NOS (disorder), Human Flu, Flu, Human, Influenza, Human, Human Influenzas, Influenza in Humans, Influenza in Human, Influenzas, Human, Human Influenza, influenza (diagnosis), flus"
"Intubation, Intratracheal",C0021932,"intratracheal intubation, Intratracheal Intubations, Intubations, Intratracheal, Intratracheal Intubation, Intubation of trachea, trachea intubation, Trachea--Intubation, Intubation, Endotracheal, endotracheal intubation, Endotracheal intubation, intubation endotracheal, INTUBATION ENDOTRACHEAL, Endotracheal Intubations, Intubations, Endotracheal, Endotracheal intubation NOS, endotracheal intubations, Endotracheal Intubation, Tracheal intubation, intubation tracheal, tracheal intubation, Tracheal Intubation, Insertion of endotracheal tube, Endotracheal tube insertion, endotracheal tube insertion, Insertion of endotracheal tube (procedure), Endotracheal tube insertion (procedure), Endotracheal intubation NOS (procedure), Insert endotracheal tube, endotracheal tube insertion (treatment), insertion of endotracheal (ET) tube, Tracheal intubation (procedure)"
Lymphopenia,C0024312,"LYMPHOPENIA, lymphopenia, Lymphopenias, Lymphocytopenia, LYMPHOCYTOPENIA, lymphocytopenia, Lymphocytopenias, Lymphocytopenia, NOS, Decreased lymphocytes, decreased lymphocytes, decreased lymphocyte, Disorder characterized by lymphopenia, Decreased blood lymphocyte number, Low lymphocyte number, Lymphocytopenia (disorder), Absolute lymphocyte count decrease, lymphocytopenia (diagnosis), lymphopenia (diagnosis)"
Nasal congestion (finding),C0027424,"Congestion of nose, NOSE CONGESTION, nose congestion, Nose congestion, Nasal congestion, CONGESTION NASAL, Congestion nasal, Congestion;nasal, NASAL CONGESTION, Nasal Congestion, nasal congestion, Congested nose, congested nose, Stuffed-up nose, Nasal stuffiness, Nasal Stuffiness, NASAL STUFFINESS, nasal stuffiness, nasal passage blockage (stuffiness) (symptom), blocked nose, Blocked nose, blocking nose, nose block, Stuffy nose, stuffy nose, nasal passage blockage, nasal passage blockage (stuffiness)"
Nausea,C0027497,"NAUSEA, nausea, Nausea NOS, nauseas, Feeling queasy, FEELING QUEASY, Nauseated, nauseated, nauseating, Nauseous, nauseous, Feeling bilious, [D]Nausea, Feeling sick, sick feeling, feeling sick, feel sick, Queasy, QUEASY, queasy, C/O - nausea, nausea (symptom), Nausea symptoms, nausea symptoms, nausea symptom, symptoms nausea, symptom nausea, Observation of nausea, [D]Nausea (context-dependent category), Finding of nausea (finding), Nausea (finding), Finding of nausea, Nausea NOS (finding), [D]Nausea (situation), Nausea (disorder), rndx nausea (diagnosis), rndx nausea"
Nausea and vomiting,C0027498,"vomiting and nausea, Vomiting and Nausea, NAUSEA AND VOMITING, nausea and vomiting, Nausea and Vomiting, Nausea and vomiting NOS, Nausea with vomiting, NAUSEA VOMITING, Nausea/vomiting, nausea/vomiting, nausea with vomiting, [D]Nausea and vomiting, [D]Nausea and vomiting NOS, N+V - Nausea and vomiting, N&V - Nausea and vomiting, Nausea and vomiting symptoms, nausea with vomiting (symptom), [D]Nausea and vomiting NOS (context-dependent category), [D]Nausea and vomiting (context-dependent category), Nausea and vomiting (disorder), [D]Nausea and vomiting (situation), [D]Nausea and vomiting NOS (situation), Nausea with vomiting, unspecified"
Pneumonia,C0032285,"PNEUMONIA, pneumonia, Pneumonias, Pneumonia, NOS, Pneumonia NOS, Pneumoniae, Pneumonitis, NOS, Pneumonitis, Pneumonia, unspecified, unspecified pneumonia, Lung inflamed, pneum, PNEUM, Lung inflammation, lung inflammation, inflammation lungs, Pulmonary inflammation, pulmonary inflammation, Pulmonitis, Pneumonia (disorder) [Ambiguous], Pneumonia (disorder), Pneumonia NOS (disorder), pneumonia (diagnosis)"
Rales,C0034642,"RALES, rales, Rale, Rales, NOS, rale, Crackles, CRACKLES, crackles, Crackle, crackle, chest crepitation, Crepitation;chest, CHEST CREPITATION, Crepitations, crepitations, Crepitation, crepitation, Crepitations NOS, Crepitant rales, crepitant rale, Respiratory crackles, Respiratory crepitations, Respiratory crepitation, [D]Rales, PULMONARY RALES/CRACKLES/CREPITATIONS, Pulmonary Rales, Lung crepitation, Crackles lung, lung crackles, Crackles in lungs, [D]Rales (context-dependent category), Respiratory crackles (finding), Crepitation (finding), Rales (finding), [D]Rales (situation), rales or crackles (physical finding), rales or crackles"
